ID;Labels
D2-101;Google
D2-102;OpenAI
D2-103;OpenAI
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;OpenAI
D2-108;Google
D2-109;Google
D2-110;OpenAI
D2-111;Anthropic
D2-112;Google
D2-113;Human
D2-114;Google
D2-115;Google
D2-116;Google
D2-117;OpenAI
D2-118;Google
D2-119;Human
D2-120;OpenAI
D2-121;OpenAI
D2-122;OpenAI
D2-123;Google
D2-124;OpenAI
D2-125;Google
D2-126;OpenAI
D2-127;Human
D2-128;OpenAI
D2-129;OpenAI
D2-130;Google
D2-131;Meta
D2-132;OpenAI
D2-133;Google
D2-134;OpenAI
D2-135;OpenAI
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;OpenAI
D2-140;OpenAI
D2-141;Meta
D2-142;Human
D2-143;Meta
D2-144;OpenAI
D2-145;Meta
D2-146;OpenAI
D2-147;Human
D2-148;Anthropic
D2-149;Google
D2-150;Google
D3-1;Anthropic
D3-2;OpenAI
D3-3;Google
D3-4;Meta
D3-5;Google
D3-6;Human
D3-7;Human
D3-8;Google
D3-9;Google
D3-10;OpenAI
D3-11;Meta
D3-12;Google
D3-13;Google
D3-14;OpenAI
D3-15;Google
D3-16;Human
D3-17;OpenAI
D3-18;Google
D3-19;Human
D3-20;Google
D3-21;OpenAI
D3-22;Google
D3-23;Google
D3-24;Google
D3-25;OpenAI
D3-26;OpenAI
D3-27;OpenAI
D3-28;OpenAI
D3-29;OpenAI
D3-30;Google
D3-31;Anthropic
D3-32;Google
D3-33;OpenAI
D3-34;Google
D3-35;OpenAI
D3-36;Anthropic
D3-37;Google
D3-38;Google
D3-39;Meta
D3-40;OpenAI
D3-41;Google
D3-42;OpenAI
D3-43;OpenAI
D3-44;Human
D3-45;Google
D3-46;OpenAI
D3-47;OpenAI
D3-48;Google
D3-49;Meta
D3-50;OpenAI
D3-51;Meta
D3-52;Google
D3-53;OpenAI
D3-54;OpenAI
D3-55;OpenAI
D3-56;OpenAI
D3-57;Google
D3-58;OpenAI
D3-59;Meta
D3-60;Anthropic
D3-61;Human
D3-62;Meta
D3-63;Human
D3-64;OpenAI
D3-65;OpenAI
D3-66;OpenAI
D3-67;Google
D3-68;Human
D3-69;Human
D3-70;OpenAI
D3-71;OpenAI
D3-72;OpenAI
D3-73;Google
D3-74;OpenAI
D3-75;OpenAI
D3-76;Human
D3-77;Human
D3-78;OpenAI
D3-79;OpenAI
D3-80;OpenAI
D3-81;Anthropic
D3-82;OpenAI
D3-83;Meta
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;Meta
D3-89;Anthropic
D3-90;Google
D3-91;Anthropic
D3-92;OpenAI
D3-93;OpenAI
D3-94;OpenAI
D3-95;Anthropic
D3-96;OpenAI
D3-97;OpenAI
D3-98;Google
D3-99;OpenAI
D3-100;OpenAI
