ID;Label
D2-126;Human
D2-127;Human
D2-128;Human
D2-129;Human
D2-130;Human
D2-131;Human
D2-132;Human
D2-133;Human
D2-134;Human
D2-135;Human
D2-136;OpenAI
D2-137;OpenAI
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;Human
D2-143;OpenAI
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-76;Google
D3-77;OpenAI
D3-78;OpenAI
D3-79;Human
D3-80;OpenAI
D3-81;OpenAI
D3-82;OpenAI
D3-83;OpenAI
D3-84;OpenAI
D3-85;OpenAI
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Human
D3-91;Human
D3-92;Human
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;OpenAI
D3-97;Human
D3-98;OpenAI
D3-99;OpenAI
D3-100;OpenAI
D4-1;Human
D4-2;Human
D4-3;Human
D4-4;Human
D4-5;Human
D4-6;Human
D4-7;Human
D4-8;Human
D4-9;Human
D4-10;Human
D4-11;Human
D4-12;Human
D4-13;Human
D4-14;Human
D4-15;Human
D4-16;OpenAI
D4-17;Human
D4-18;Human
D4-19;Human
D4-20;Human
D4-21;OpenAI
D4-22;OpenAI
D4-23;OpenAI
D4-24;OpenAI
D4-25;OpenAI
D4-26;OpenAI
D4-27;OpenAI
D4-28;OpenAI
D4-29;OpenAI
D4-30;OpenAI
D4-31;OpenAI
D4-32;OpenAI
D4-33;OpenAI
D4-34;Human
D4-35;Human
D4-36;Human
D4-37;OpenAI
D4-38;Human
D4-39;Human
D4-40;OpenAI
D4-41;OpenAI
D4-42;OpenAI
D4-43;OpenAI
D4-44;Human
D4-45;Human
D4-46;Human
D4-47;Human
D4-48;Human
D4-49;Human
D4-50;Human
D4-51;Human
D4-52;Human
D4-53;OpenAI
D4-54;Human
D4-55;Human
D4-56;Human
D4-57;Human
D4-58;Human
D4-59;Human
D4-60;Human
D4-61;Human
D4-62;Human
D4-63;Human
D4-64;Human
D4-65;OpenAI
D4-66;Human
D4-67;Human
D4-68;Human
D4-69;Human
D4-70;Human
D4-71;OpenAI
D4-72;Human
D4-73;Human
D4-74;Human
D4-75;Human
D4-76;Human
D4-77;Human
D4-78;OpenAI
D4-79;OpenAI
D4-80;OpenAI
D4-81;OpenAI
D4-82;OpenAI
D4-83;Human
D4-84;OpenAI
D4-85;Human
D4-86;Human
D4-87;Human
D4-88;Human
D4-89;OpenAI
D4-90;OpenAI
D4-91;OpenAI
D4-92;OpenAI
D4-93;Human
D4-94;Human
D4-95;Human
D4-96;Human
D4-97;Human
D4-98;Human
D4-99;OpenAI
D4-100;Human
